Motif,Pays Origine,Pays Destination,Distance,Facteur d'extrapolation
Domicile,Luxembourg,Allemagne,51.9,9.617050794
Domicile,Luxembourg,Allemagne,40.9,3.486120241
Domicile,Luxembourg,Allemagne,13.5,4.358344652
Domicile,Luxembourg,Allemagne,113.5,6.716284158
Domicile,Luxembourg,Allemagne,42.5,6.784038604
Domicile,Luxembourg,Allemagne,93.5,7.644007217
Domicile,Luxembourg,Allemagne,43.3,7.923016939
Domicile,Luxembourg,Allemagne,62.7,8.159921203
Domicile,Luxembourg,Allemagne,32.1,8.84629489
Domicile,Luxembourg,Allemagne,55.1,9.871908193
Domicile,Luxembourg,Allemagne,32.1,9.871908193
Domicile,Luxembourg,Allemagne,19.7,10.13700728
Domicile,Luxembourg,Allemagne,31.9,11.03980851
Domicile,Luxembourg,Allemagne,27.9,12.01805116
Domicile,Luxembourg,Allemagne,19.7,12.01805116
Domicile,Luxembourg,Allemagne,62.9,12.81959591
Domicile,Luxembourg,Allemagne,86.5,14.89231992
Domicile,Luxembourg,Allemagne,60,17.44128706
Domicile,Luxembourg,Allemagne,41.7,18.47827699
Domicile,Luxembourg,Allemagne,7.7,19.16898156
Domicile,Luxembourg,Allemagne,38.8,21.86156461
Domicile,Luxembourg,Allemagne,58,21.94731327
Domicile,Luxembourg,Allemagne,17.1,22.93190791
Domicile,Luxembourg,Allemagne,60.2,26.01990176
Domicile,Luxembourg,Allemagne,53.6,27.54306147
Domicile,Luxembourg,Allemagne,74.7,30.6434044
Domicile,Luxembourg,Allemagne,36.2,64.58430475
Domicile,Luxembourg,Allemagne,14.3,67.65740506
Domicile,Luxembourg,Allemagne,66.7,8.036254967
Domicile,Luxembourg,Allemagne,45.6,16.70082229
Domicile,Luxembourg,Allemagne,24.9,20.77619934
Domicile,Luxembourg,Allemagne,43.6,63.47302356
Domicile,Luxembourg,Allemagne,32.8,4.283352029
Domicile,Luxembourg,Allemagne,28.4,6.981860241
Domicile,Luxembourg,Allemagne,91.8,7.56732491
Domicile,Luxembourg,Allemagne,35.3,9.808696536
Domicile,Luxembourg,Allemagne,20.2,10.14649082
Domicile,Luxembourg,Allemagne,47.4,12.01805116
Domicile,Luxembourg,Allemagne,23.3,12.18365238
Domicile,Luxembourg,Allemagne,56.9,19.91667832
Domicile,Luxembourg,Allemagne,41.3,24.43507874
Domicile,Luxembourg,Allemagne,50.3,26.91964302
Domicile,Luxembourg,Allemagne,29,6.861725636
Domicile,Luxembourg,Allemagne,27.9,10.13700728
Domicile,Allemagne,Allemagne,50.5,26.91964302
Domicile,Luxembourg,Allemagne,20.7,4.358344652
Domicile,Luxembourg,Allemagne,44.4,5.719767765
Domicile,Luxembourg,Allemagne,25.7,10.35652469
Domicile,Luxembourg,Allemagne,19.7,12.01805116
Domicile,Luxembourg,Allemagne,43.6,18.41540509
Domicile,Luxembourg,Allemagne,48.8,19.91667832
Domicile,Luxembourg,Allemagne,22.1,20.27165378
Domicile,Luxembourg,Allemagne,39.1,7.923016939
Domicile,Luxembourg,Allemagne,48.2,8.413308669
Domicile,Luxembourg,Allemagne,32.2,4.056775941
Domicile,Luxembourg,Allemagne,51.9,6.46647845
Domicile,Luxembourg,Allemagne,7.3,9.145882406
Domicile,Luxembourg,Allemagne,34.1,9.808696536
Domicile,Luxembourg,Allemagne,22.2,9.808696536
Domicile,Luxembourg,Allemagne,34.1,10.13700728
Domicile,Luxembourg,Allemagne,98.8,12.18365238
Domicile,Luxembourg,Allemagne,48.6,12.5596101
Domicile,Luxembourg,Allemagne,6.9,18.46336542
Domicile,Luxembourg,Allemagne,32.1,21.27061907
Domicile,Luxembourg,Allemagne,46.4,23.23207074
Domicile,Luxembourg,Allemagne,35,63.47302356
Domicile,Luxembourg,Allemagne,20.5,4.056775941
Domicile,Luxembourg,Allemagne,14.7,12.01805116
Domicile,Luxembourg,Allemagne,21.3,4.196484179
Domicile,Luxembourg,Allemagne,108.9,5.988617832
Domicile,Luxembourg,Allemagne,126.7,7.091908594
Domicile,Luxembourg,Allemagne,29.1,9.083852275
Domicile,Luxembourg,Allemagne,23.7,9.808696536
Domicile,Luxembourg,Allemagne,32.5,9.808696536
Domicile,Luxembourg,Allemagne,86.5,9.960694138
Domicile,Allemagne,Allemagne,9.7,11.28252817
Domicile,Luxembourg,Allemagne,28.2,12.10614074
Domicile,Luxembourg,Allemagne,41.4,16.4300796
Domicile,Luxembourg,Allemagne,60.1,18.76730975
Domicile,Luxembourg,Allemagne,49.1,18.87990317
Domicile,Luxembourg,Allemagne,56.9,23.19193425
Domicile,Luxembourg,Allemagne,65.1,23.73516243
Domicile,Luxembourg,Allemagne,52.7,23.73516243
Domicile,Luxembourg,Allemagne,20,62.18576885
Domicile,Luxembourg,Allemagne,7.7,10.35652469
Domicile,Luxembourg,Allemagne,16.7,10.13700728
Domicile,Luxembourg,Allemagne,33,10.21130924
Domicile,Luxembourg,Allemagne,48.1,10.2766889
Domicile,Luxembourg,Allemagne,55.8,12.10614074
Domicile,Luxembourg,Allemagne,31.8,14.08683945
Domicile,Luxembourg,Allemagne,32.1,14.39189068
Domicile,Luxembourg,Allemagne,58.8,20.5054091
Domicile,Luxembourg,Allemagne,41.9,10.2766889
Domicile,Luxembourg,Allemagne,11,4.056775941
Domicile,Luxembourg,Allemagne,9.9,10.07644326
Domicile,Luxembourg,Allemagne,28,11.05492645
Domicile,Luxembourg,Allemagne,48.3,21.86156461
Domicile,Luxembourg,Allemagne,53.8,23.25380518
Domicile,Luxembourg,Allemagne,53.5,26.01990176
Domicile,Luxembourg,Allemagne,9.3,75.3139239
Domicile,Luxembourg,Allemagne,62.8,14
Domicile,Luxembourg,Allemagne,51.1,10.2766889
Domicile,Luxembourg,Allemagne,4.6,10.470155
Domicile,Luxembourg,Allemagne,13.7,16.70082229
Domicile,Luxembourg,Allemagne,27,18.46336542
Domicile,Luxembourg,Allemagne,40.6,19.43936982
Domicile,Luxembourg,Allemagne,36.2,22.47964567
Domicile,Luxembourg,Allemagne,43.3,23.73516243
Domicile,Luxembourg,Allemagne,35.2,30.59804831
Domicile,Luxembourg,Allemagne,19.2,16.18932211
Domicile,Luxembourg,Allemagne,38.7,4.056775941
Domicile,Luxembourg,Allemagne,42.1,24.15071596
Domicile,Luxembourg,Allemagne,16.8,3.756987815
Domicile,Luxembourg,Allemagne,16.8,4.283352029
Domicile,Luxembourg,Allemagne,56,6.176175544
Domicile,Luxembourg,Allemagne,52.2,6.498761551
Domicile,Luxembourg,Allemagne,72.4,6.981860241
Domicile,Luxembourg,Allemagne,16.2,6.9941242
Domicile,Allemagne,Allemagne,21.5,7.327531289
Domicile,Luxembourg,Allemagne,58.5,7.831449374
Domicile,Luxembourg,Allemagne,64.6,8.952025828
Domicile,Luxembourg,Allemagne,18.9,8.960400771
Domicile,Luxembourg,Allemagne,22.6,9.150434849
Domicile,Luxembourg,Allemagne,37.8,9.57362851
Domicile,Luxembourg,Allemagne,14,9.672505381
Domicile,Allemagne,Allemagne,60.1,10.21130924
Domicile,Luxembourg,Allemagne,19.7,10.35652469
Domicile,Luxembourg,Allemagne,22.5,14.39189068
Domicile,Luxembourg,Allemagne,66.6,16.61889151
Domicile,Luxembourg,Allemagne,38.4,16.98001727
Domicile,Luxembourg,Allemagne,52.9,19.08657
Domicile,Luxembourg,Allemagne,52.4,20.81844205
Domicile,Luxembourg,Allemagne,44.5,20.81844205
Domicile,Luxembourg,Allemagne,73.8,21.76321462
Domicile,Luxembourg,Allemagne,36.3,23.73516243
Domicile,Luxembourg,Allemagne,57.2,27.54306147
Domicile,Luxembourg,Allemagne,28.6,30.9183021
Domicile,Luxembourg,Allemagne,24,51.13889639
Domicile,Luxembourg,Allemagne,12.3,55.21951489
Domicile,Luxembourg,Allemagne,12.6,4.358344652
Domicile,Luxembourg,Allemagne,28.8,27.54306147
Domicile,Luxembourg,Allemagne,6.6,4.056775941
Domicile,Luxembourg,Allemagne,6.6,4.196484179
Domicile,Luxembourg,Allemagne,60.7,6.382900748
Domicile,Luxembourg,Allemagne,12.6,7.009432577
Domicile,Luxembourg,Allemagne,47.6,7.822085489
Domicile,Luxembourg,Allemagne,45.8,8.810495715
Domicile,Luxembourg,Allemagne,30.7,9.083852275
Domicile,Luxembourg,Allemagne,24.9,10.13700728
Domicile,Allemagne,Allemagne,466,10.21130924
Domicile,Luxembourg,Allemagne,27.1,12.01805116
Domicile,Luxembourg,Allemagne,33,12.14147889
Domicile,Luxembourg,Allemagne,82.1,20.55968641
Domicile,Luxembourg,Allemagne,28.8,28.37891434
Domicile,Luxembourg,Allemagne,56.5,31.74488189
Domicile,Luxembourg,Allemagne,40.2,34.29040803
Domicile,Luxembourg,Allemagne,16.3,11.78067806
Domicile,Luxembourg,Allemagne,50.2,3.927485636
Domicile,Luxembourg,Allemagne,6.6,4.056775941
Domicile,Luxembourg,Allemagne,80.3,7.96257163
Domicile,Luxembourg,Allemagne,25.1,9.808696536
Domicile,Luxembourg,Allemagne,32.1,10.08568487
Domicile,Luxembourg,Allemagne,18.6,10.53784599
Domicile,Luxembourg,Allemagne,30.1,16.4300796
Domicile,Luxembourg,Allemagne,57.3,20.94747405
Domicile,Luxembourg,Allemagne,60.2,21.94731327
Domicile,Luxembourg,Allemagne,34.6,24.15071596
Domicile,Luxembourg,Allemagne,18,32.92134434
Domicile,Luxembourg,Allemagne,6.6,4.056775941
Domicile,Luxembourg,Allemagne,45.4,9.5656955
Domicile,Luxembourg,Allemagne,16,11.5
Domicile,Luxembourg,Allemagne,70.6,14.89231992
Domicile,Luxembourg,Allemagne,46.6,21.94731327
Domicile,Luxembourg,Allemagne,24.3,22.47964567
Domicile,Luxembourg,Allemagne,52.4,23.23207074
Domicile,Luxembourg,Allemagne,67.8,27.76508102
Domicile,Luxembourg,Allemagne,46.9,23.73516243
Domicile,Luxembourg,Allemagne,61.4,9.808696536
Domicile,Luxembourg,Allemagne,33.2,13.63060413
Domicile,Luxembourg,Allemagne,58.6,14.89231992
Domicile,Luxembourg,Allemagne,60.5,21.63991134
Domicile,Luxembourg,Allemagne,16.8,4.192561886
Domicile,Luxembourg,Allemagne,42.6,4.220369535
Domicile,Luxembourg,Allemagne,16.8,4.970542274
Domicile,Luxembourg,Allemagne,57,5.979339526
Domicile,Luxembourg,Allemagne,26.8,6.260390417
Domicile,Luxembourg,Allemagne,30,6.716284158
Domicile,Luxembourg,Allemagne,39.2,6.716284158
Domicile,Luxembourg,Allemagne,68.7,6.937073246
Domicile,Luxembourg,Allemagne,37,7.405274414
Domicile,Luxembourg,Allemagne,50.3,7.528797551
Domicile,Luxembourg,Allemagne,72.2,7.644007217
Domicile,Luxembourg,Allemagne,52.6,8.010196945
Domicile,Allemagne,Allemagne,31.1,8.278309401
Domicile,Luxembourg,Allemagne,93.1,8.413308669
Domicile,Luxembourg,Allemagne,88.8,8.779412333
Domicile,Luxembourg,Allemagne,50.8,8.866155334
Domicile,Luxembourg,Allemagne,19.7,9.083852275
Domicile,Luxembourg,Allemagne,32.6,9.496091307
Domicile,Luxembourg,Allemagne,34,10.13700728
Domicile,Luxembourg,Allemagne,82.5,10.13700728
Domicile,Allemagne,Allemagne,2.6,10.35652469
Domicile,Luxembourg,Allemagne,59,11.7545274
Domicile,Luxembourg,Allemagne,41.9,11.8511837
Domicile,Luxembourg,Allemagne,57.2,12.10614074
Domicile,Luxembourg,Allemagne,6,12.62332808
Domicile,Luxembourg,Allemagne,38.3,17.84261444
Domicile,Luxembourg,Allemagne,67.8,18.32516124
Domicile,Luxembourg,Allemagne,7.7,18.43983161
Domicile,Luxembourg,Allemagne,56.9,19.56197417
Domicile,Luxembourg,Allemagne,41.3,20.13086412
Domicile,Luxembourg,Allemagne,53.3,21.76321462
Domicile,Luxembourg,Allemagne,67.1,22.47964567
Domicile,Luxembourg,Allemagne,51.3,23.23207074
Domicile,Luxembourg,Allemagne,38.9,23.23207074
Domicile,Luxembourg,Allemagne,45.3,23.73516243
Domicile,Luxembourg,Allemagne,48.9,23.73516243
Domicile,Luxembourg,Allemagne,49.1,27.54306147
Domicile,Luxembourg,Allemagne,34.6,27.54306147
Domicile,Luxembourg,Allemagne,66.7,27.54306147
Domicile,Luxembourg,Allemagne,16,37.54566168
Domicile,Luxembourg,Allemagne,14.6,53.45965729
Domicile,Luxembourg,Allemagne,80.6,112.1239006
Domicile,Luxembourg,Allemagne,23.7,9.808696536
Domicile,Luxembourg,Allemagne,30.1,13.63060413
Domicile,Luxembourg,Allemagne,37.1,6.716284158
Domicile,Luxembourg,Allemagne,55.7,8.386030739
Domicile,Luxembourg,Allemagne,46.4,12.10614074
Domicile,Luxembourg,Allemagne,51.9,13.13026361
Domicile,Luxembourg,Allemagne,45,14.39189068
Domicile,Luxembourg,Allemagne,29,16.98001727
Domicile,Luxembourg,Allemagne,35.1,23.73516243
Domicile,Luxembourg,Allemagne,61.9,27.54306147
Domicile,Luxembourg,Allemagne,57.9,62.77999069
Domicile,Luxembourg,Allemagne,54.2,8.559633618
Domicile,Luxembourg,Allemagne,23.8,15.57351248
Domicile,Luxembourg,Allemagne,32.1,20.13086412
Domicile,Luxembourg,Allemagne,43.5,24.30040128
Domicile,Luxembourg,Allemagne,22.5,30.59804831
Domicile,Luxembourg,Allemagne,31.7,31.66908185
Domicile,Luxembourg,Allemagne,32.8,31.95318077
Domicile,Luxembourg,Allemagne,43.6,62.12764619
Domicile,Luxembourg,Allemagne,25.4,22.47964567
Domicile,Luxembourg,Allemagne,16.6,4.283352029
Domicile,Allemagne,Allemagne,11.5,6.291644649
Domicile,Luxembourg,Allemagne,34.8,6.605684923
Domicile,Luxembourg,Allemagne,37.7,6.716284158
Domicile,Luxembourg,Allemagne,18.5,9.150434849
Domicile,Luxembourg,Allemagne,363,9.150434849
Domicile,Luxembourg,Allemagne,62.3,9.871908193
Domicile,Luxembourg,Allemagne,61.1,9.871908193
Domicile,Luxembourg,Allemagne,39.4,9.996257618
Domicile,Luxembourg,Allemagne,16.3,10.13700728
Domicile,Luxembourg,Allemagne,22.4,12.10614074
Domicile,Luxembourg,Allemagne,53.1,13.95554752
Domicile,Allemagne,Allemagne,19.7,14.69457548
Domicile,Luxembourg,Allemagne,26,23.23207074
Domicile,Luxembourg,Allemagne,35.3,23.73516243
Domicile,Luxembourg,Allemagne,50.8,37.22721608
Domicile,Luxembourg,Allemagne,43.1,55.21951489
Domicile,Luxembourg,Allemagne,39.8,60.11549673
Domicile,Luxembourg,Allemagne,29.3,67.65740506
Domicile,Luxembourg,Allemagne,32.1,77.8347859
Domicile,Luxembourg,Allemagne,51.9,152.9258439
Domicile,Luxembourg,Allemagne,20,4.283352029
Domicile,Luxembourg,Allemagne,34,6.498761551
Domicile,Luxembourg,Allemagne,29,23.23207074
Domicile,Luxembourg,Allemagne,282,23.38571428
Domicile,Luxembourg,Allemagne,32.8,3.756987815
Domicile,Luxembourg,Allemagne,16.2,4.220369535
Domicile,Luxembourg,Allemagne,16.8,4.283352029
Domicile,Luxembourg,Allemagne,23.3,4.358344652
Domicile,Luxembourg,Allemagne,62.5,4.970542274
Domicile,Luxembourg,Allemagne,42.4,5.988617832
Domicile,Luxembourg,Allemagne,38.8,6.121877351
Domicile,Allemagne,Allemagne,11.3,6.291644649
Domicile,Luxembourg,Allemagne,66.2,6.382900748
Domicile,Luxembourg,Allemagne,55.4,6.605684923
Domicile,Luxembourg,Allemagne,58.2,6.635924882
